Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
1,Alavés,24,28.0,40.7,11,121,990,11.0,6,4,4,2,2,23.0,1.0,0.55,0.36,0.91,0.36,0.73,10.0,8.4,5.4,13.9,0.91,0.49,1.4,0.77,1.26,La Liga,2021-2022,37745278530914180
2,Angers,22,28.0,47.0,12,132,1080,12.0,17,12,14,3,3,18.0,0.0,1.42,1.0,2.42,1.17,2.17,14.7,12.4,7.8,20.3,1.23,0.65,1.88,1.04,1.69,Ligue 1,2021-2022,66587352409382849
3,Arminia,22,26.6,40.2,10,110,900,10.0,6,3,5,1,1,16.0,1.0,0.6,0.3,0.9,0.5,0.8,8.9,8.2,5.7,13.9,0.89,0.57,1.47,0.82,1.39,Bundesliga,2021-2022,60726784699523350
4,Arsenal,26,24.9,46.0,10,110,900,10.0,12,6,12,0,1,14.0,1.0,1.2,0.6,1.8,1.2,1.8,12.5,11.6,7.5,19.1,1.25,0.75,2.0,1.16,1.91,Premier League,2021-2022,5838645288327307
5,Aston Villa,23,26.3,47.5,10,110,900,10.0,13,10,11,2,2,23.0,1.0,1.3,1.0,2.3,1.1,2.1,11.0,9.6,7.3,16.9,1.1,0.73,1.83,0.96,1.69,Premier League,2021-2022,14348480492050895
6,Atalanta,24,28.0,56.1,11,121,990,11.0,18,13,16,2,3,28.0,0.0,1.64,1.18,2.82,1.45,2.64,18.6,16.4,13.2,29.7,1.69,1.2,2.9,1.49,2.7,Serie A,2021-2022,87465877057901989
7,Athletic Club,23,27.2,47.1,11,121,990,11.0,10,8,9,1,3,20.0,1.0,0.91,0.73,1.64,0.82,1.55,17.3,15.1,11.8,26.8,1.58,1.07,2.65,1.37,2.44,La Liga,2021-2022,4823083458145023
8,Atlético Madrid,21,28.6,53.4,11,121,990,11.0,16,13,15,1,1,38.0,2.0,1.45,1.18,2.64,1.36,2.55,13.9,13.1,10.6,23.7,1.26,0.96,2.22,1.19,2.15,La Liga,2021-2022,74713976168286555
9,Augsburg,24,27.1,39.0,10,110,900,10.0,9,7,9,0,0,20.0,0.0,0.9,0.7,1.6,0.9,1.6,8.7,8.7,5.4,14.1,0.87,0.54,1.41,0.87,1.41,Bundesliga,2021-2022,82828683183786310
10,Barcelona,27,26.7,67.6,11,121,990,11.0,16,12,14,2,3,21.0,2.0,1.45,1.09,2.55,1.27,2.36,19.1,16.8,14.3,31.2,1.74,1.3,3.04,1.53,2.83,La Liga,2021-2022,81744823723090567
11,Bayern Munich,22,27.1,62.3,10,110,900,10.0,36,28,34,2,2,6.0,1.0,3.6,2.8,6.4,3.4,6.2,29.6,28.1,21.4,49.6,2.96,2.14,5.1,2.81,4.96,Bundesliga,2021-2022,7510926916741648
12,Betis,29,28.8,56.6,12,132,1080,12.0,18,13,16,2,2,27.0,1.0,1.5,1.08,2.58,1.33,2.42,18.6,17.1,12.3,29.4,1.55,1.02,2.58,1.43,2.45,La Liga,2021-2022,9423348454032625
13,Bochum,24,28.7,41.0,10,110,900,10.0,8,5,8,0,0,16.0,1.0,0.8,0.5,1.3,0.8,1.3,11.7,11.7,9.3,21.0,1.17,0.93,2.1,1.17,2.1,Bundesliga,2021-2022,26656491983030423
14,Bologna,24,27.1,51.3,11,121,990,11.0,16,14,15,1,2,34.0,4.0,1.45,1.27,2.73,1.36,2.64,11.3,9.8,7.2,17.0,1.13,0.72,1.85,0.98,1.7,Serie A,2021-2022,23275147453355121
15,Bordeaux,28,26.4,48.3,12,132,1080,12.0,16,10,15,1,1,24.0,1.0,1.33,0.83,2.17,1.25,2.08,11.1,10.4,8.1,18.6,0.93,0.68,1.6,0.87,1.55,Ligue 1,2021-2022,12683680850395737
16,Brentford,21,25.9,44.4,10,110,900,10.0,12,6,11,1,1,18.0,1.0,1.2,0.6,1.8,1.1,1.7,13.0,12.2,8.1,20.3,1.3,0.81,2.11,1.22,2.03,Premier League,2021-2022,27125852983275500
17,Brest,22,25.2,43.3,12,132,1080,12.0,14,8,12,2,2,20.0,0.0,1.17,0.67,1.83,1.0,1.67,12.2,10.6,8.8,19.4,1.01,0.73,1.74,0.89,1.62,Ligue 1,2021-2022,27328509848090670
18,Brighton,21,27.3,54.8,10,110,900,10.0,11,9,9,2,2,25.0,0.0,1.1,0.9,2.0,0.9,1.8,10.7,9.2,7.3,16.5,1.07,0.73,1.8,0.92,1.65,Premier League,2021-2022,49072214318111932
19,Burnley,18,29.0,39.6,10,110,900,10.0,9,8,9,0,0,22.0,0.0,0.9,0.8,1.7,0.9,1.7,11.3,11.3,8.4,19.7,1.13,0.84,1.97,1.13,1.97,Premier League,2021-2022,21823480134907726
20,Cádiz,26,28.3,34.8,12,132,1080,12.0,11,6,8,3,4,31.0,1.0,0.92,0.5,1.42,0.67,1.17,12.6,9.5,7.1,16.6,1.05,0.59,1.64,0.79,1.38,La Liga,2021-2022,1007679934589500
21,Cagliari,26,27.6,42.2,11,121,990,11.0,12,9,10,2,2,28.0,2.0,1.09,0.82,1.91,0.91,1.73,10.4,8.8,7.2,16.1,1.04,0.72,1.76,0.88,1.61,Serie A,2021-2022,32968728316179674
22,Celta Vigo,22,28.9,57.2,12,132,1080,12.0,10,7,9,1,2,32.0,1.0,0.83,0.58,1.42,0.75,1.33,13.4,11.9,9.5,21.4,1.22,0.86,2.08,1.09,1.95,La Liga,2021-2022,14218303985450920
23,Chelsea,25,27.6,57.2,10,110,900,10.0,25,16,23,2,2,11.0,1.0,2.5,1.6,4.1,2.3,3.9,17.2,15.8,12.6,28.4,1.72,1.26,2.98,1.58,2.84,Premier League,2021-2022,58172670324373785
24,Clermont Foot,20,28.1,51.9,12,132,1080,12.0,12,10,12,0,0,12.0,2.0,1.0,0.83,1.83,1.0,1.83,15.0,15.0,12.2,27.2,1.25,1.02,2.27,1.25,2.27,Ligue 1,2021-2022,54976968050746588
25,Crystal Palace,19,28.0,50.6,10,110,900,10.0,13,8,11,2,2,17.0,0.0,1.3,0.8,2.1,1.1,1.9,11.2,9.7,7.6,17.3,1.12,0.76,1.88,0.97,1.73,Premier League,2021-2022,15352059381074619
26,Dortmund,27,26.2,61.2,10,110,900,10.0,25,15,21,4,4,20.0,1.0,2.5,1.5,4.0,2.1,3.6,20.6,17.5,13.9,31.4,2.06,1.39,3.44,1.75,3.14,Bundesliga,2021-2022,6921931827204601
27,Eint Frankfurt,24,26.7,50.3,10,110,900,10.0,9,8,8,1,2,20.0,0.0,0.9,0.8,1.7,0.8,1.6,12.4,10.9,8.5,19.4,1.24,0.85,2.09,1.09,1.94,Bundesliga,2021-2022,37929111009288632
28,Elche,23,30.1,47.3,12,132,1080,12.0,9,5,9,0,0,28.0,1.0,0.75,0.42,1.17,0.75,1.17,9.8,9.8,7.6,17.4,0.81,0.64,1.45,0.81,1.45,La Liga,2021-2022,30674441257210497
29,Empoli,24,24.9,44.9,11,121,990,11.0,14,8,10,4,4,24.0,1.0,1.27,0.73,2.0,0.91,1.64,14.3,11.3,8.4,19.6,1.3,0.76,2.06,1.02,1.79,Serie A,2021-2022,77726683749984272
30,Espanyol,27,28.3,46.2,12,132,1080,12.0,12,6,10,2,2,25.0,2.0,1.0,0.5,1.5,0.83,1.33,13.1,11.7,7.4,19.1,1.09,0.62,1.71,0.97,1.59,La Liga,2021-2022,71314269182841176
31,Everton,24,28.0,41.0,10,110,900,10.0,16,13,13,3,3,18.0,0.0,1.6,1.3,2.9,1.3,2.6,14.3,12.0,9.9,21.9,1.59,1.1,2.69,1.34,2.43,Premier League,2021-2022,57482013681231466
32,Fiorentina,24,26.8,56.5,11,121,990,11.0,16,9,11,5,5,34.0,3.0,1.45,0.82,2.27,1.0,1.82,15.4,11.8,10.1,21.9,1.4,0.91,2.31,1.07,1.99,Serie A,2021-2022,24325362613855847
33,Freiburg,23,26.5,48.8,10,110,900,10.0,15,8,13,2,2,8.0,0.0,1.5,0.8,2.3,1.3,2.1,13.3,11.8,8.8,20.5,1.33,0.88,2.2,1.18,2.05,Bundesliga,2021-2022,17577284562417651
34,Genoa,30,28.2,45.5,11,121,990,11.0,15,11,11,4,4,31.0,0.0,1.36,1.0,2.36,1.0,2.0,13.5,10.5,8.1,18.6,1.23,0.73,1.97,0.96,1.69,Serie A,2021-2022,87033800759594150
35,Getafe,26,27.1,43.3,12,132,1080,12.0,6,5,6,0,1,43.0,4.0,0.5,0.42,0.92,0.5,0.92,8.0,7.2,5.3,12.5,0.66,0.44,1.11,0.6,1.04,La Liga,2021-2022,23789167582387071
36,Granada,25,28.8,44.5,11,121,990,11.0,11,7,10,1,2,37.0,0.0,1.0,0.64,1.64,0.91,1.55,7.5,6.0,4.9,10.9,0.75,0.49,1.24,0.6,1.09,La Liga,2021-2022,45137124328012624
37,Greuther Fürth,25,26.4,43.4,10,110,900,10.0,7,4,4,3,3,20.0,0.0,0.7,0.4,1.1,0.4,0.8,10.6,8.4,6.4,14.8,1.06,0.64,1.69,0.84,1.48,Bundesliga,2021-2022,11035944553035865
38,Hellas Verona,24,27.1,49.5,11,121,990,11.0,24,17,20,4,4,29.0,1.0,2.18,1.55,3.73,1.82,3.36,15.5,12.4,9.7,22.2,1.4,0.89,2.29,1.13,2.01,Serie A,2021-2022,45227680351245381
39,Hertha BSC,27,26.8,42.2,10,110,900,10.0,10,7,9,1,1,18.0,1.0,1.0,0.7,1.7,0.9,1.6,10.1,9.3,5.8,15.1,1.01,0.58,1.59,0.93,1.51,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,22,26.4,53.6,10,110,900,10.0,19,13,19,0,0,19.0,0.0,1.9,1.3,3.2,1.9,3.2,17.0,17.0,12.6,29.6,1.7,1.26,2.96,1.7,2.96,Bundesliga,2021-2022,29322720181807625
41,Inter,23,29.2,53.0,11,121,990,11.0,28,21,26,2,3,26.0,0.0,2.55,1.91,4.45,2.36,4.27,21.9,19.6,13.9,33.5,1.99,1.26,3.25,1.78,3.04,Serie A,2021-2022,53198597771575973
42,Juventus,24,28.4,51.1,11,121,990,11.0,15,9,13,2,2,22.0,0.0,1.36,0.82,2.18,1.18,2.0,14.5,13.0,9.9,22.9,1.32,0.9,2.22,1.18,2.08,Serie A,2021-2022,19371054131726661
43,Köln,22,27.8,55.7,10,110,900,10.0,15,14,15,0,0,21.0,1.0,1.5,1.4,2.9,1.5,2.9,14.7,14.7,10.9,25.6,1.47,1.09,2.56,1.47,2.56,Bundesliga,2021-2022,39731782814123330
44,Lazio,23,30.3,54.5,11,121,990,11.0,22,16,19,3,4,27.0,2.0,2.0,1.45,3.45,1.73,3.18,16.2,13.3,10.4,23.7,1.47,0.95,2.42,1.21,2.15,Serie A,2021-2022,90751438076496109
45,Leeds United,23,26.5,58.6,10,110,900,10.0,10,7,9,1,1,23.0,1.0,1.0,0.7,1.7,0.9,1.6,13.2,12.5,9.6,22.0,1.32,0.96,2.28,1.25,2.2,Premier League,2021-2022,34570153325607342
46,Leicester City,22,27.5,52.6,10,110,900,10.0,15,11,15,0,0,13.0,1.0,1.5,1.1,2.6,1.5,2.6,15.5,15.5,9.1,24.6,1.55,0.91,2.46,1.55,2.46,Premier League,2021-2022,18776461863573874
47,Lens,23,27.1,48.8,12,132,1080,12.0,21,14,18,3,3,24.0,2.0,1.75,1.17,2.92,1.5,2.67,20.9,18.7,14.6,33.3,1.74,1.21,2.95,1.56,2.77,Ligue 1,2021-2022,74951719010833888
48,Levante,26,28.5,44.4,12,132,1080,12.0,11,6,8,3,5,36.0,2.0,0.92,0.5,1.42,0.67,1.17,13.8,10.3,6.5,16.8,1.26,0.59,1.85,0.94,1.53,La Liga,2021-2022,1566092639264277
49,Leverkusen,23,24.7,52.8,10,110,900,10.0,20,15,19,1,2,24.0,1.0,2.0,1.5,3.5,1.9,3.4,15.4,13.9,10.5,24.4,1.54,1.05,2.59,1.39,2.44,Bundesliga,2021-2022,36794408106212849
50,Lille,22,26.7,51.9,12,132,1080,12.0,14,9,12,2,2,32.0,0.0,1.17,0.75,1.92,1.0,1.75,17.7,16.2,13.1,29.3,1.47,1.09,2.57,1.35,2.44,Ligue 1,2021-2022,85603837513355486
51,Liverpool,24,28.0,61.4,10,110,900,10.0,29,23,28,1,1,11.0,0.0,2.9,2.3,5.2,2.8,5.1,26.3,26.0,19.8,45.8,2.63,1.98,4.61,2.6,4.58,Premier League,2021-2022,41956650829873911
52,Lorient,25,27.1,43.5,12,132,1080,12.0,11,6,9,2,2,32.0,3.0,0.92,0.5,1.42,0.75,1.25,14.1,12.6,10.3,22.9,1.17,0.86,2.04,1.05,1.91,Ligue 1,2021-2022,37325341301512527
53,Lyon,25,26.3,58.7,12,132,1080,12.0,20,12,17,3,3,20.0,5.0,1.67,1.0,2.67,1.42,2.42,21.8,19.7,14.8,34.5,1.82,1.24,3.06,1.64,2.88,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,22,26.3,58.3,10,110,900,10.0,12,9,12,0,2,20.0,0.0,1.2,0.9,2.1,1.2,2.1,18.2,16.7,11.7,28.3,1.82,1.17,2.99,1.67,2.83,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,26,26.4,43.6,10,110,900,10.0,14,11,14,0,0,22.0,1.0,1.4,1.1,2.5,1.4,2.5,15.4,15.4,11.1,26.5,1.54,1.11,2.65,1.54,2.65,Bundesliga,2021-2022,71158960989778912
56,Mallorca,27,28.0,44.4,12,132,1080,12.0,10,7,10,0,0,38.0,4.0,0.83,0.58,1.42,0.83,1.42,10.9,10.9,7.0,17.9,0.91,0.58,1.49,0.91,1.49,La Liga,2021-2022,96459977719332900
57,Manchester City,22,27.1,64.2,10,110,900,10.0,19,13,19,0,0,16.0,1.0,1.9,1.3,3.2,1.9,3.2,21.9,21.9,15.5,37.4,2.19,1.55,3.74,2.19,3.74,Premier League,2021-2022,74026506610392765
58,Manchester Utd,21,27.5,55.7,10,110,900,10.0,19,17,19,0,1,24.0,1.0,1.9,1.7,3.6,1.9,3.6,14.9,14.2,11.5,25.7,1.49,1.15,2.64,1.42,2.57,Premier League,2021-2022,29078730489839024
59,Marseille,23,25.0,59.6,12,132,1080,12.0,19,15,18,1,1,20.0,2.0,1.58,1.25,2.83,1.5,2.75,17.6,16.9,14.4,31.3,1.47,1.2,2.67,1.41,2.61,Ligue 1,2021-2022,66190039714113630
60,Metz,29,26.0,44.8,12,132,1080,12.0,12,7,11,1,1,30.0,2.0,1.0,0.58,1.58,0.92,1.5,10.2,9.4,6.5,15.9,0.85,0.54,1.39,0.79,1.32,Ligue 1,2021-2022,14635757597311544
61,Milan,26,25.8,54.2,11,121,990,11.0,24,14,21,3,4,24.0,1.0,2.18,1.27,3.45,1.91,3.18,19.3,16.3,12.4,28.7,1.76,1.13,2.89,1.48,2.61,Serie A,2021-2022,59378513948613436
62,Monaco,25,24.7,59.3,12,132,1080,12.0,17,13,14,3,3,26.0,1.0,1.42,1.08,2.5,1.17,2.25,15.7,13.4,10.9,24.3,1.31,0.91,2.21,1.12,2.02,Ligue 1,2021-2022,79093238158793616
63,Montpellier,22,26.0,49.4,12,132,1080,12.0,19,12,18,1,1,27.0,3.0,1.58,1.0,2.58,1.5,2.5,14.3,13.5,8.7,22.2,1.19,0.72,1.91,1.13,1.85,Ligue 1,2021-2022,32434714471076965
64,Nantes,21,27.0,41.6,12,132,1080,12.0,15,12,13,2,2,23.0,1.0,1.25,1.0,2.25,1.08,2.08,14.2,12.6,10.5,23.1,1.18,0.87,2.05,1.05,1.93,Ligue 1,2021-2022,25802633648495862
65,Napoli,25,27.9,59.5,11,121,990,11.0,23,12,19,4,7,19.0,2.0,2.09,1.09,3.18,1.73,2.82,20.3,14.8,10.7,25.6,1.84,0.98,2.82,1.35,2.33,Serie A,2021-2022,10516137814401134
66,Newcastle Utd,22,27.8,38.4,10,110,900,10.0,10,9,10,0,0,28.0,1.0,1.0,0.9,1.9,1.0,1.9,9.8,9.8,7.3,17.1,0.98,0.73,1.71,0.98,1.71,Premier League,2021-2022,29528772732587842
67,Nice,23,25.4,52.3,12,132,1080,12.0,23,14,20,3,5,23.0,0.0,1.92,1.17,3.08,1.67,2.83,24.6,21.0,16.3,37.3,2.05,1.35,3.4,1.75,3.11,Ligue 1,2021-2022,11720969662561653
68,Norwich City,22,26.6,44.3,10,110,900,10.0,3,2,2,1,1,19.0,1.0,0.3,0.2,0.5,0.2,0.4,7.9,7.1,4.7,11.9,0.79,0.47,1.26,0.71,1.19,Premier League,2021-2022,42809968147687487
69,Osasuna,26,28.2,45.5,12,132,1080,12.0,14,8,11,3,4,31.0,1.0,1.17,0.67,1.83,0.92,1.58,13.2,10.4,8.2,18.6,1.1,0.68,1.79,0.87,1.55,La Liga,2021-2022,83352675823776457
70,Paris S-G,27,27.8,62.5,12,132,1080,12.0,25,17,23,2,2,21.0,1.0,2.08,1.42,3.5,1.92,3.33,21.2,19.8,15.6,35.4,1.77,1.3,3.07,1.65,2.95,Ligue 1,2021-2022,11177590892093073
71,Rayo Vallecano,25,27.6,47.3,12,132,1080,12.0,18,14,16,2,2,31.0,1.0,1.5,1.17,2.67,1.33,2.5,13.6,12.1,9.9,22.1,1.24,0.9,2.14,1.1,2.01,La Liga,2021-2022,75203699329351977
72,RB Leipzig,23,25.5,56.3,10,110,900,10.0,21,13,17,4,4,14.0,0.0,2.1,1.3,3.4,1.7,3.0,21.6,18.8,14.2,33.0,2.16,1.42,3.58,1.88,3.3,Bundesliga,2021-2022,68159208261559796
73,Real Madrid,25,28.0,58.5,11,121,990,11.0,26,20,25,1,1,20.0,0.0,2.36,1.82,4.18,2.27,4.09,17.1,16.4,12.8,29.1,1.56,1.16,2.72,1.49,2.65,La Liga,2021-2022,29627131003986350
74,Real Sociedad,27,25.6,54.5,12,132,1080,12.0,17,9,14,3,4,24.0,1.0,1.42,0.75,2.17,1.17,1.92,16.8,13.8,8.8,22.6,1.4,0.73,2.13,1.15,1.88,La Liga,2021-2022,57299950304530590
75,Reims,25,24.8,44.2,12,132,1080,12.0,14,11,13,1,1,23.0,2.0,1.17,0.92,2.08,1.08,2.0,11.1,10.3,8.3,18.6,0.93,0.69,1.62,0.86,1.55,Ligue 1,2021-2022,67732085073987538
76,Rennes,26,25.8,55.0,12,132,1080,12.0,18,14,18,0,0,20.0,1.0,1.5,1.17,2.67,1.5,2.67,16.2,16.2,12.2,28.5,1.35,1.02,2.37,1.35,2.37,Ligue 1,2021-2022,96819424452761337
77,Roma,24,26.6,53.1,11,121,990,11.0,18,14,17,1,2,36.0,2.0,1.64,1.27,2.91,1.55,2.82,19.3,17.7,13.2,31.0,1.75,1.2,2.95,1.61,2.82,Serie A,2021-2022,764736481564168
78,Saint-Étienne,28,24.9,51.2,12,132,1080,12.0,12,6,9,3,3,25.0,2.0,1.0,0.5,1.5,0.75,1.25,14.1,11.9,8.6,20.5,1.18,0.72,1.89,0.99,1.71,Ligue 1,2021-2022,56226069621228236
79,Salernitana,25,28.2,42.3,11,121,990,11.0,9,6,8,1,1,25.0,2.0,0.82,0.55,1.36,0.73,1.27,11.6,10.8,7.9,18.8,1.06,0.72,1.77,0.99,1.71,Serie A,2021-2022,63444195793016658
80,Sampdoria,22,29.4,45.6,11,121,990,11.0,12,9,11,1,1,33.0,1.0,1.09,0.82,1.91,1.0,1.82,11.4,10.7,8.4,19.1,1.04,0.77,1.81,0.97,1.74,Serie A,2021-2022,89407679695143145
81,Sassuolo,22,26.9,56.1,11,121,990,11.0,13,10,12,1,1,28.0,0.0,1.18,0.91,2.09,1.09,2.0,15.0,14.2,11.2,25.4,1.36,1.02,2.38,1.29,2.31,Serie A,2021-2022,79200252522790650
82,Sevilla,26,29.0,62.7,11,121,990,11.0,19,14,18,1,1,31.0,2.0,1.73,1.27,3.0,1.64,2.91,16.0,15.3,12.9,28.2,1.46,1.18,2.63,1.39,2.56,La Liga,2021-2022,22702270477938803
83,Southampton,21,25.8,49.3,10,110,900,10.0,8,5,6,2,2,18.0,1.0,0.8,0.5,1.3,0.6,1.1,14.7,13.2,10.7,23.9,1.47,1.07,2.54,1.32,2.39,Premier League,2021-2022,21037626007536306
84,Spezia,26,24.6,49.8,11,121,990,11.0,11,6,11,0,0,20.0,2.0,1.0,0.55,1.55,1.0,1.55,11.0,11.0,8.7,19.6,1.0,0.79,1.78,1.0,1.78,Serie A,2021-2022,41730244034743257
85,Strasbourg,23,27.6,47.8,12,132,1080,12.0,20,14,18,2,2,26.0,2.0,1.67,1.17,2.83,1.5,2.67,16.0,14.4,10.1,24.5,1.33,0.84,2.17,1.2,2.05,Ligue 1,2021-2022,92234479374253707
86,Stuttgart,28,24.9,54.8,10,110,900,10.0,15,12,15,0,0,26.0,2.0,1.5,1.2,2.7,1.5,2.7,12.2,12.2,8.8,21.1,1.22,0.88,2.11,1.22,2.11,Bundesliga,2021-2022,81761661302668293
87,Torino,26,25.5,52.2,11,121,990,11.0,15,12,15,0,0,32.0,1.0,1.36,1.09,2.45,1.36,2.45,13.8,13.8,11.3,25.1,1.26,1.03,2.28,1.26,2.28,Serie A,2021-2022,21846272194836439
88,Tottenham,21,26.6,51.4,10,110,900,10.0,8,6,7,1,1,19.0,1.0,0.8,0.6,1.4,0.7,1.3,10.3,9.5,7.8,17.4,1.03,0.78,1.81,0.95,1.74,Premier League,2021-2022,22006624071753704
89,Troyes,28,27.7,40.3,12,132,1080,12.0,12,10,12,0,0,24.0,2.0,1.0,0.83,1.83,1.0,1.83,12.6,12.6,9.3,21.9,1.05,0.77,1.83,1.05,1.83,Ligue 1,2021-2022,57069542099991496
90,Udinese,21,27.2,40.9,11,121,990,11.0,12,7,11,1,1,23.0,1.0,1.09,0.64,1.73,1.0,1.64,13.6,12.9,7.4,20.3,1.23,0.67,1.91,1.17,1.84,Serie A,2021-2022,48393495896639342
91,Union Berlin,23,28.6,41.8,10,110,900,10.0,15,12,14,1,1,19.0,1.0,1.5,1.2,2.7,1.4,2.6,12.6,11.9,9.4,21.3,1.26,0.94,2.2,1.19,2.13,Bundesliga,2021-2022,71630543971501382
92,Valencia,26,26.1,45.9,12,132,1080,12.0,17,10,14,3,3,38.0,2.0,1.42,0.83,2.25,1.17,2.0,14.1,11.8,9.4,21.2,1.18,0.78,1.96,0.99,1.77,La Liga,2021-2022,65158650443085242
93,Venezia,29,26.4,42.7,11,121,990,11.0,8,6,7,1,1,37.0,1.0,0.73,0.55,1.27,0.64,1.18,9.9,9.1,7.6,16.7,0.9,0.69,1.59,0.83,1.52,Serie A,2021-2022,94916874898547392
94,Villarreal,26,28.1,61.7,11,121,990,11.0,13,12,13,0,0,30.0,1.0,1.18,1.09,2.27,1.18,2.27,13.8,13.8,10.6,24.4,1.26,0.96,2.22,1.26,2.22,La Liga,2021-2022,63335634096533483
95,Watford,26,28.8,41.6,10,110,900,10.0,12,10,12,0,0,22.0,0.0,1.2,1.0,2.2,1.2,2.2,11.1,11.1,8.6,19.7,1.11,0.86,1.97,1.11,1.97,Premier League,2021-2022,73743918793554398
96,West Ham,18,28.7,51.4,10,110,900,10.0,19,16,19,0,2,14.0,1.0,1.9,1.6,3.5,1.9,3.5,16.7,15.7,12.3,28.0,1.67,1.23,2.9,1.57,2.8,Premier League,2021-2022,57680956417459581
97,Wolfsburg,24,26.5,55.4,10,110,900,10.0,11,5,10,1,2,26.0,2.0,1.1,0.5,1.6,1.0,1.5,16.4,15.1,9.7,24.9,1.64,0.97,2.61,1.51,2.49,Bundesliga,2021-2022,85159484018358879
98,Wolves,18,28.1,51.1,10,110,900,10.0,10,6,10,0,0,19.0,0.0,1.0,0.6,1.6,1.0,1.6,11.9,11.9,8.6,20.4,1.32,0.95,2.27,1.32,2.27,Premier League,2021-2022,24001928852251903
